,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
50.0,5.891045542534723e-07,8.4971127734375e-07,7.952647994791666e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,6.982380768229165e-07,7.324275963541666e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,3.9482836227413256e-07,6.818037565104167e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,3.57214135134294e-07,6.992182135416667e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,7.018667122395832e-07,1.0718229919748434e-06,3.9647911381049896e-07,3.8110835890228605e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,7.062641940104165e-07,2.111671017605293e-06,4.772717232397117e-07,1.5817387480706527e-06,3.799320457054651e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,3.6740399777302383e-07,3.7510426535212507e-07,1.8032469712329599e-06,9.60201584350569e-07,8.95822348227858e-07,3.763925028473813e-07,4.46956576597634e-07,3.25606891989429e-07,1.3506773244754002e-06,7.112037330729166e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,3.908036170540784e-07,3.6342851962684323e-07,3.6160019949540526e-07,3.6868240217921393e-07,4.153615487789706e-07,3.692322058882807e-07,3.798427265313167e-07,8.584151626667213e-07,1.3028597682556509e-06,1.0495613537729436e-06,2.719891607492576e-07,3.8290219975372253e-07,3.5728063463987903e-07,1.5993974667614007e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,1.1827400168878494e-06,3.720086481455414e-07,8.671357592392349e-07,8.692118127086871e-07,1.5408359169672155e-06,1.527651109222808e-06,3.6904089963564254e-07,7.270408541666667e-07,9.151340147134135e-07,7.432172676358636e-07,8.252975950488865e-07,1.4403804616907892e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,3.6060728381123664e-07,1.083938719724286e-06,8.917311899630218e-07,3.6295803403715725e-07,1.5246800921728796e-06,1.4955762409191361e-06,1.508108103256038e-06,6.754298291637899e-07,7.406747044270832e-07,7.400827591145833e-07,7.251341867452466e-07,7.174825357290133e-07,7.326289330440121e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
