Sample File,C:\Users\robdav\Desktop\icewarnTest.csv
Model,3772

Sample #,1,,,,,2,,,,,3,,,,,
Start Date,01/30/23,,,,,01/30/23,,,,,01/30/23,,,,,
Start Time,14:18:27,,,,,16:40:36,,,,,17:40:43,,,,,
Sample Length,01:00:00,,,,,01:00:00,,,,,27:22,,,,,
Averaging Interval (secs),1.0,,,,,1.0,,,,,1.0,,,,
Title,,,,,,,,,,,,,,,
Instrument ID,3772  70708634 2.16,,,,,3772  70708634 2.16,,,,,3772  70708634 2.16,,,,
Instrument Errors,Aerosol Flow Rate Error,,,,,Aerosol Flow Rate Error,,,,,Aerosol Flow Rate Error,,,,

Mean,721.759,,,,,2031.63,,,,,248.888,,,,
Min,0.06,,,,,3.24,,,,,1.98,,,,
Max,1041.8,,,,,7008,,,,,1018.4,,,,
Std. Dev.,272.755,,,,,1843.26,,,,,229.994,,,,

Time1,Concentration1 (#/cc),Count (#),Analog 1,Analog 2,Time2,Concentration2 (#/cc),Count (#),Analog 1,Analog 2,Time3,Concentration3 (#/cc),Count (#),Analog 1,Analog 2,
14:18:28,125.2,2090,0,0,16:40:37,530.5,8841,0,0,17:40:44,583.4,9726,0,0,
14:18:29,116.48,1943,0,0,16:40:38,539.2,8988,0,0,17:40:45,580.1,9667,0,0,
14:18:30,111.2,1855,0,0,16:40:39,541,9017,0,0,17:40:46,576.3,9610,0,0,
14:18:31,112.4,1872,0,0,16:40:40,538.8,8980,0,0,17:40:47,567.8,9467,0,0,
14:18:32,107.8,1796,0,0,16:40:41,540.1,9004,0,0,17:40:48,567.3,9457,0,0,
14:18:33,99.59,1659,0,0,16:40:42,526.9,8780,0,0,17:40:49,559.4,9326,0,0,
14:18:34,98.05,1634,0,0,16:40:43,527.1,8784,0,0,17:40:50,562,9368,0,0,
14:18:35,97.87,1631,0,0,16:40:44,520.6,8674,0,0,17:40:51,543,9052,0,0,
14:18:36,89.76,1496,0,0,16:40:45,515.8,8596,0,0,17:40:52,554.7,9248,0,0,
14:18:37,88.35,1473,0,0,16:40:46,536.6,8945,0,0,17:40:53,536.2,8935,0,0,
14:18:38,92.31,1539,0,0,16:40:47,515.3,8587,0,0,17:40:54,537.8,8962,0,0,
14:18:39,83.64,1394,0,0,16:40:48,518.6,8642,0,0,17:40:55,532.9,8881,0,0,
14:18:40,82.8,1380,0,0,16:40:49,527.7,8792,0,0,17:40:56,538.3,8972,0,0,
14:18:41,78.42,1307,0,0,16:40:50,523.8,8726,0,0,17:40:57,517.2,8619,0,0,
14:18:42,79.32,1322,0,0,16:40:51,528.5,8811,0,0,17:40:58,526,8765,0,0,
14:18:43,78.36,1306,0,0,16:40:52,528.8,8812,0,0,17:40:59,520.1,8668,0,0,
14:18:44,78.58,1310,0,0,16:40:53,531.8,8863,0,0,17:41:00,508.7,8475,0,0,
14:18:45,74.52,1242,0,0,16:40:54,525.2,8753,0,0,17:41:01,501.5,8356,0,0,
14:18:46,68.76,1146,0,0,16:40:55,532.5,8872,0,0,17:41:02,505.9,8428,0,0,
14:18:47,68.28,1138,0,0,16:40:56,528.6,8807,0,0,17:41:03,502.2,8369,0,0,
14:18:48,64.62,1077,0,0,16:40:57,542.1,9036,0,0,17:41:04,497.2,8284,0,0,
14:18:49,61.08,1018,0,0,16:40:58,547.5,9127,0,0,17:41:05,499.6,8325,0,0,
