Time;Size1;Count1 (TC);Size2;Count2 (TC);Size3;Count3 (TC);Size4;Count4 (TC);Size5;Count5 (TC);Size6;Count6 (TC);AT (C);RH (%);Location;Seconds;A1Size;A2Size;Status;
2023-02-01 10:54:32;0,3;104;0,5;8;1;1;1,5;1;2;1;2,5;0;;;422;1;;;0;
2023-02-01 10:54:33;0,3;104;0,5;2;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:34;0,3;102;0,5;2;1;1;1,5;1;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:35;0,3;124;0,5;6;1;2;1,5;2;2;2;2,5;2;;;422;1;;;0;
2023-02-01 10:54:36;0,3;88;0,5;7;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:37;0,3;91;0,5;6;1;2;1,5;2;2;2;2,5;1;;;422;1;;;0;
2023-02-01 10:54:38;0,3;113;0,5;6;1;1;1,5;1;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:39;0,3;107;0,5;2;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:40;0,3;93;0,5;2;1;1;1,5;1;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:41;0,3;115;0,5;4;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:42;0,3;90;0,5;1;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:43;0,3;83;0,5;2;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:44;0,3;83;0,5;0;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:45;0,3;109;0,5;2;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:46;0,3;116;0,5;2;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:47;0,3;118;0,5;4;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:48;0,3;81;0,5;0;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:49;0,3;99;0,5;3;1;1;1,5;1;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:50;0,3;103;0,5;3;1;1;1,5;1;2;1;2,5;1;;;422;1;;;0;
2023-02-01 10:54:51;0,3;108;0,5;3;1;2;1,5;2;2;1;2,5;0;;;422;1;;;0;
2023-02-01 10:54:52;0,3;95;0,5;1;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:53;0,3;125;0,5;5;1;1;1,5;1;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:54;0,3;93;0,5;3;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:55;0,3;121;0,5;1;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:56;0,3;87;0,5;3;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:57;0,3;104;0,5;9;1;2;1,5;2;2;1;2,5;1;;;422;1;;;0;
2023-02-01 10:54:58;0,3;106;0,5;2;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:54:59;0,3;129;0,5;5;1;1;1,5;1;2;1;2,5;1;;;422;1;;;0;
2023-02-01 10:55:00;0,3;106;0,5;8;1;1;1,5;1;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:01;0,3;115;0,5;3;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:02;0,3;114;0,5;7;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:03;0,3;110;0,5;5;1;1;1,5;1;2;1;2,5;0;;;422;1;;;0;
2023-02-01 10:55:04;0,3;111;0,5;2;1;1;1,5;1;2;1;2,5;1;;;422;1;;;0;
2023-02-01 10:55:05;0,3;104;0,5;1;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:06;0,3;105;0,5;7;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:07;0,3;115;0,5;4;1;1;1,5;1;2;1;2,5;1;;;422;1;;;0;
2023-02-01 10:55:08;0,3;87;0,5;2;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:09;0,3;101;0,5;2;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:10;0,3;64;0,5;0;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:11;0,3;84;0,5;4;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:12;0,3;79;0,5;3;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:13;0,3;76;0,5;2;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:14;0,3;86;0,5;1;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:15;0,3;78;0,5;2;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:16;0,3;68;0,5;1;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:17;0,3;79;0,5;1;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:18;0,3;77;0,5;0;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:19;0,3;87;0,5;3;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:20;0,3;78;0,5;2;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:21;0,3;74;0,5;1;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:22;0,3;95;0,5;1;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:23;0,3;75;0,5;2;1;1;1,5;1;2;1;2,5;1;;;422;1;;;0;
2023-02-01 10:55:24;0,3;78;0,5;1;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:25;0,3;80;0,5;1;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:26;0,3;66;0,5;1;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:27;0,3;62;0,5;1;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:28;0,3;71;0,5;1;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:29;0,3;67;0,5;0;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:30;0,3;78;0,5;2;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:31;0,3;80;0,5;3;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:32;0,3;73;0,5;0;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:33;0,3;66;0,5;2;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:34;0,3;83;0,5;1;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:35;0,3;75;0,5;0;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:36;0,3;74;0,5;1;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:37;0,3;73;0,5;1;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:38;0,3;68;0,5;1;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:39;0,3;74;0,5;0;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:40;0,3;72;0,5;3;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 10:55:41;0,3;56;0,5;1;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
